WerkstoffnummerDIN;WerkstoffnameDIN;KalGr
1.0605;C75;1
1.1248;CK75;1
1.1249;Cf70;1
1.1620;C70W2;1
1.0535;C55;1
1.0904;55Si7;1
1.2713;55NiCrMoV6;1
1.2714;56NiCrMoV7;1
1.3519;31CrMoV9;2
1.5121;46MnSi4;1
1.5141;53MnSi4;1
1.5864;35NiCr18;1
1.6511;36CrNiMo4;2
1.6562;40NiCrMo73;1
1.6580;30CrNiMo8;1
1.6582;34CrNiMo6;2
1.6773;36NiCrMo16;2
1.7225;42CrMo4;2
1.7227;42CrMoS4;2
1.7228;50CrMo4;2
1.7707;30CrMoV9;2
1.7735;14CrMoV6-9;2
1.8070;21CrMoV5-11;2
1.8159;50CrV4;2
1.8161;58CrV4;2
1.8504;34CrAl6;2
1.8507;34CrAlMo5;2
1.8519;31CrMoV9;2
1.8521;15CrMoV5-9;2
1.8523;39CrMoV13-9;2
1.8550;34CrAlNi7;2
1.9340;722M24;2
1.9605;42CrMo4(Ni=0,40-0,60;2
1.9606;50CrMo4;2
1.0044;St44-2;1
1.0050;St50-2;1
1.0060;St60-2;1
1.0070;St70-2;1
1.0402;C22;1
1.0425;HII;1
1.0426;P280GH;1
1.0432;C21;1
1.0456;TTST45;1
1.0460;C22.8;1
1.0461;STE255;1
1.0462;WSTE255;1
1.0463;TSTE255;1
1.0481;17Mn4;1
1.0482;19Mn5;1
1.0486;STE285;1
1.0487;WSTE285;1
1.0488;TSTE285;1
1.0501;C35;1
1.0503;C45;1
1.0505;STE315;1
1.0506;WSTE315;1
1.0508;TSTE315;1
1.0562;STE355;1
1.0565;WSTE355;1
1.0566;TSTE355;1
1.0570;ST52-3;1
1.0571;P355QH1;1
1.0601;C60;1
1.0603;C67;1
1.1133;20Mn5;1
1.1141;CK15;1
1.1151;C22E;1
1.1157;40Mn4;1
1.1165;30Mn5;1
1.1167;36Mn5;1
1.1181;C35E;1
1.1191;C45E;1
1.1192;CK45Feinr.(Cq45);1
1.1203;C55E;1
1.1210;CK53;1
1.1213;Cf53;1
1.1221;C60E;1
1.1273;90Mn4;1
1.2316;X38CrMo16;2
1.2344;X40CrMoV51;2
1.2738;40CRMNNIMO8-6-4;2
1.3505;100Cr6;2
1.3520;100CrMnSi6-4;2
1.3536;100CrMo7-3;2
1.3537;100CrMo7;2
1.3539;100CrMnMo8;2
1.4021;X20Cr13;2
1.4034;X46Cr13;2
1.4110;X55CrMo14;2
1.5120;38MnSi4;1
1.5122;37MnSi5;1
1.5415;15Mo3;1
1.5419;22Mo4;1
1.5710;36NiCr6;2
1.6523;21NiCrMo2;2
1.7006;46Cr2;2
1.7033;34Cr4;2
1.7034;37Cr4;2
1.7035;41Cr4;2
1.7037;34CrS4;2
1.7038;37CrS4;2
1.7039;41CrS4;2
1.7218;25CrMo4;2
1.7219;26CrMo4;2
1.7220;34CrMo4;2
1.7226;34CrMoS4;2
1.7258;24CrMo5;2
1.7264;20CrMo5;2
1.7321;20MoCr4;2
1.7325;25MoCr4;2
1.7335;13CrMo4-4;2
1.7337;16CrMo4-4;2
1.7350;22CrMo4-4;2
1.7361;32CrMo12;2
1.7380;10CrMo9-10;2
1.7709;21CrMoV5-7;2
1.7733;24CrMoV5-5;2
1.7765;32CrMoV12-10;2
1.8515;31CrMo12;2
1.8900;StE380;1
1.8902;StE420;1
1.8905;StE460;1
1.8907;StE500;1
1.8910;TStE380;1
1.8912;TStE420;1
1.8915;TStE460;1
1.8917;TStE500;1
1.8920;TSTE690VA;1
1.8928;S690QL;1
1.8930;WSTE380;1
1.8932;WSTE420;1
1.8935;WSTE460;1
1.8937;WSTE500;1
1.0037;St37-2;1
1.0301;C10;1
1.0401;C15;1
1.1121;CK10;1
1.4313;X3CrNiMo13-4;2
1.5752;14NiCr14;2
1.5860;14NiCr18;2
1.5918;17CrNi6-6;2
1.5919;15CrNi6;2
1.5920;18CrNi8;2
1.6587;18CrNiMo7-6;2
1.7015;15Cr3;2
1.7131;16MnCr5;1
1.7139;16MnCrS5;1
1.7147;20MnCr5;1
1.7149;20MnCrS5;1
1.4006;X12Cr13;2
1.4122;X39CrMo17-1;2
1.4301;X5CrNi18-10;2
1.4418;X4CrNiMo16-5-1;2
1.4922;X22CrMoV12-1;2
1.4923;X22CrMoV12-1;2
1.4404;X2CrNiMo17-12-2;2
1.4571;X6CrNiMo17-12-2;2